file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
alabasterandfliss1,.lang,events\lang\spanish\alabasterandfliss1.lang,"[neutral]Hola, #npc_name_alabaster#, te estaba buscando.","[neutral]¿Oh? ¿Qué necesitas, #npc_name_fliss#? Solo estoy arreglando las flores que junté esta mañana.","[thinking]Perfecto. #npc_name_lainey# está trabajando en un nuevo proyecto de arte, pero se quedó sin pintura. ¿Acaso alguna de estas plantas podría servir para crear colorantes naturales?","[thinking]Ah, ya veo. Estas flores no sirven para hacer pintura. Quería llevarlas a mi guarida para replantarlas allí.///[playful]¿Sabes qué? Pásate por mi tienda más tarde y te mostraré lo que tengo. Debe haber alguna hierba o flor a la venta que sea de los colores que tú y #npc_name_lainey# están buscando.","[shocked]Oh... Bueno, en realidad quiero saber si podrías mostrarme dónde encontrar esas hierbas y flores por mi cuenta.///[sad]Lo siento. Me gustaría comprar en tu tienda, pero no tenemos muchos [yellow]mius[/yellow] en este momento. No debería haberte preguntado.",[angry]¡#npc_name_fliss#! ¿Qué haces aquí? ¿Acabas de preguntarle sobre eso que te dije que no preguntaras?,"[sad]¡Lo siento, no fue mi intención! Me encontré con #npc_name_alabaster# y olvidé que dijiste que no le preguntara.","[neutral]Está bien. Vámonos a casa. Puedo arreglármelas con la pintura que ya tengo. Tendré que pintar el cielo de [yellow]amarillo[/yellow] o algo así.///[playful]Perdón por las molestias, #npc_name_alabaster#.","[happy]¡De acuerdo, #npc_name_lainey#! ¡Vamos! Pero puedo conseguirte más materiales. Saldré esta noche y traeré un saco lleno de flores, ¡ya lo verás!///[playful]Así que no trabajes en ese proyecto de arte hasta que vuelva.","[neutral]Hola, #player_name#. ¿Estás de paseo? ¿Viste a #npc_name_lainey# y #npc_name_fliss# pasar hace un momento?///[happy]Seguro que escuchaste toda nuestra conversación. Quisiera saber tu opinión sobre algo.///[playful]Tengo la intención de ir a su guarida más tarde y regalarles algunas flores para ayudar con el proyecto de arte. Tal creatividad debería ser fomentada, ¿no crees?///[thinking]Pero quizás sería una mejor lección si #npc_name_fliss# se tomara el trabajo de encontrar algunas flores en el bosque. No hay nada como la experiencia propia.///[neutral]¿Cuál crees que sea la opción más acertada, #player_name#?",¡Generosidad!,¡Trabajo duro!,"[happy]Sí, también pensé lo mismo. Tengo más de lo que necesito, y estoy feliz de compartirlo con otros.///[playful]Juntaré algunas de mis flores favoritas y se las llevaré a #npc_name_lainey# más tarde.///[thinking]Admiro mucho tu sabiduría, #player_name#.","[neutral]Sí, supongo que será bueno para #npc_name_fliss#. Dejaré que resuelva las cosas a su manera.///[thinking]Sé que #npc_name_fliss# no tendrá problema en encontrar muchas flores hermosas.///[neutral]Gracias por compartir tu opinión, #player_name#.",,,,,,,,,,,,
alabasterandfliss2,.lang,events\lang\spanish\alabasterandfliss2.lang,"[happy]Gracias a todos por venir con tan poco aviso.///[shocked]Puede ser muy complicado extraer las semillas de #item_name_raspberries_good# de forma correcta, y como verán, tengo bastantes con las que trabajar.///[neutral]Aprecio que se hayan ofrecido a ayudarme de forma voluntaria con el trabajo.","[thinking]Sí, por supuesto. Tenía una tarde libre y me pareció una manera excelente de servir a los residentes de #colony_full_name_with_article#.",[angry]Se me ocurren varias maneras mejores de pasar la tarde que manchándome las patas con jugo de bayas...,"[shocked]¡Silencio, #npc_name_lainey#! ¡Prometiste ayudar! ¿Lo recuerdas?","[sad]Solo porque no te callabas. Prácticamente, me rogaste que me uniera.///[thinking]Como sea. Vine, así que terminemos con esto.",[playful]¡Genial! Permítanme demostrar la técnica...,"[happy]¡Oh, qué divertido! ¿No crees que todas las #item_name_raspberries_good# huelen deliciosas?","[thinking]Son bastantes, ¿no? Podríamos tardar bastante en completar la tarea.","[thinking]Sí, en realidad, hay más de las que había considerado cuando pedí patas extra.///[playful]Si alguien quiere irse, puede hacerlo y disfrutar el resto del día una vez que termine con su actual puñado de #item_name_raspberries_good#.",[playful]¡No necesito que me lo digas dos veces! ¡Me largo!,,,"[shocked]Oh, no hay problema, #npc_name_alabaster#. Puedo quedarme todo el tiempo que necesites. No me molesta ayudar.///[playful]Apuesto a que #npc_name_alabaster# y yo podemos terminar sin ayuda. ¿Por qué no se van a divertir un rato? En serio no es ninguna molestia.","[happy]Me parece un buen plan. #npc_name_elli#, vámonos a algún lado más divertido.///[playful]#npc_name_alabaster#... #npc_name_fliss#... Buena suerte.",,,,,,,,,,,,
alabasterandfliss3,.lang,events\lang\spanish\alabasterandfliss3.lang,"[thinking]Durante mucho tiempo, pensé que tenía todo lo que quería. Sentía que la vida me había bendecido.///[blushing]Tengo una guarida cálida. Una empresa exitosa. Pertenezco a #colony_title#.///[sad]Pero me encuentro infeliz y queriendo más. No creo que vuelva a ser feliz ahora que sé lo que me falta.///[blushing]No puedo dejar de pensar en ti. Así que vine a dejar claras mis intenciones. Te quiero.",[playful]Vaya. Fue demasiado. Espero que le estés hablando a #npc_name_fliss# y no a mí.,[blushing]¡#npc_name_lainey#! Es obvio que #npc_name_alabaster# no te hablaba a ti. Me hablaba a... mí.,"[blushing]No es necesario que respondas ahora, #npc_name_fliss#. Pero necesitaba que supieras lo que siento.///[neutral]Sabes dónde encontrarme si sientes lo mismo.",[blushing]... ... ...,"[happy]Oigan, miren, ¡#player_name# también está aquí! Bueno, qué incómodo.///[playful]¿Supongo que #npc_name_alabaster# también podría haber estado hablando de #player_name#?",[angry]#npc_name_lainey#!,"[playful]¡Lo siento! Debes admitir que fue divertido, ¿no?",,,,,,,,,,,,,,,,,,
autumnfun,.lang,events\lang\spanish\autumnfun.lang,[neutral]Me encanta el otoño. El clima es estupendo. ¡Y me gusta juntar las hojas bonitas que caen de los árboles!///[happy]Este es uno de mis lugares favoritos para conseguir hojas. Suelo llevármelas a mi guarida y ponerlas en las paredes. Añaden un lindo toque de color.,"[shocked]No sé si me gusta el otoño tanto como a ti, #npc_name_elli#. Todo este polen se mete en mi nariz y me hace estornudar.///[angry][scary]¡ACHÚ![/scary]","[happy]¡Qué estornudo tan fuerte!///[neutral]Lamento lo de tus alergias. Entiendo que no a todos les guste el otoño tanto como a mí.///[playful]Siempre me ha encantado esta época del año, desde que era una cría. ¿Cuál es tu estación favorita, #npc_name_garlic#?",[thinking]¿Mi estación favorita? Eh...///[happy]¡Creo que nunca pensé en eso! Nadie me lo había preguntado antes.,"[neutral]¿En serio? Bueno, deberías pensarlo. Yo tengo un favorito para casi todo lo que te imagines.///[playful]Dime luego qué estación elegiste, ¿sí? Ahora voy a buscar algo para comer.",,,,,,,,,,,,,,,,,,,,,
bobandbuttercup1,.lang,events\lang\spanish\bobandbuttercup1.lang,"[thinking]En fin, estaba pensando en ir al río más tarde a pescar una #item_name_trout#. Después de mi siesta del mediodía, claro.","[neutral]Sí, me parece sensato. La última vez que comprobé las reservas, noté una gran escasez de [green]pescados[/green]. Asegúrate de traer algunos cuando regreses al pueblo.","[neutral]Por supuesto, #npc_name_jag#. Eso es lo que me gusta de ti, siempre estás pensando en lo que es mejor para los demás.","[angry]Uf, ya no lo soporto. ¿Eso es todo de lo que hablas, #npc_name_bob#? ¿Siestas al mediodía? ¿Pescar? ¿Cuidar de los demás?///[thinking]¡Por favor!","[sad]Oh, te pido disculpas, #npc_name_charlotte#. No era mi intención molestarte.///[shocked]¿Tal vez podemos hablar de esto? ¿Qué fue exactamente lo que dije que te enfadó tanto?","[thinking]¿Qué [b]dijiste[/b]? Nada de lo que [b]dijiste[/b] me ofendió, el problema... eres tú.///[angry]Esa mirada tonta y despreocupada que tienes. Tu falsa actitud positiva. Me da asco. Eres demasiado optimista todo el tiempo. Deja de pretender y frunce el ceño de una vez, como hacen los demás.","[thinking]#npc_name_bob#, por lo general es mejor no prestarle atención. Eso es lo único que hace que #npc_name_charlotte# se vaya.",[shocked]¡Oye! Eso... ¡Eso es muy cruel de tu parte!,"[thinking]Oh, y miren quién apareció. Hola, #npc_name_buttercup#.///[neutral]¿De verdad crees que puedes enfrentarme? ¿Y para qué? ¿Para defender a #npc_name_bob#? ¿Es en serio?///[thinking]Pensé que tú no te entrometías en asuntos ajenos.","[angry]Ya basta, #npc_name_charlotte#. Parece que estás buscando empezar una pelea.",Hablarlo,¡Pelea! ¡Pelea!,"[angry]¡Sí, supongo que sí! Cualquier cosa sirve para quitarme el aburrimiento. ¿Quieres pelear? ¡Adelante!","[sad]Bueno, bueno, vamos a calmarnos. No hay necesidad de recurrir a la violencia. Podemos platicarlo, ¿verdad?","[angry]¿Qué? ¿Me tienes demasiado miedo como para responderme, #npc_name_bob#? Está bien, iré a decirles a todos lo cobarde que eres. ¿Qué te parece?",(¡La situación se está volviendo tensa! ¿Qué debería hacer?),[angry]¡Deja en paz a #npc_name_bob#!,[angry]¿Qué es esto? ¿Trajeron refuerzos? Cobardes.,"[neutral]No hay necesidad de pelear. Dejemos de lado esta discusión. Sé que solo lo haces para entretenerte. De eso se trata en realidad, ¿no?///[thinking]Quizás #player_name# pueda encontrar algo productivo para que tú hagas.","[shocked]Espera, ¿algo [b]productivo[/b]? Qué asco, no me gusta. Eso suena... ¡Responsable! ¡Y útil!///[angry]Yo jamás podría hacer algo así. ¡Como sea, me voy!///[thinking]Pero tengan cuidado. Volveré, ya lo verán.","[thinking]Como puedes ver, #npc_name_charlotte#, estás en desventaja. Somos cuatro contra ti. Será mejor que reconsideres tu plan.","[angry]Está bien, ustedes ganan... Por esta vez. Pero nunca podrían vencerme en una pelea justa y lo saben.///[angry]¡Tendré mi revancha! Ya lo verán.","[sad]No sé por qué se comporta así. Gracias por la ayuda, #npc_name_jag#. Gracias a ti también, #player_name#. Y especialmente a ti, #npc_name_buttercup#.",,,
bobandbuttercup2,.lang,events\lang\spanish\bobandbuttercup2.lang,"[neutral]¿Qué haces aquí a solas? Sé que alguien como tú puede cuidarse, pero me parece que sufres de soledad.","[shocked]Yo, eh... Mmm...","[happy]Yo, solo vine al río a pescar. Nada muy sofisticado. Ni siquiera vi un solo [green]pez[/green].",[shocked]¡Lo siento! Si hubiera sabido...,[neutral]No te preocupes por mí. No tienes nada de que disculparte.///[thinking]A veces no hay peces.,"[neutral]No, no entiendes. ¡No encontraste peces porque yo ya los pesqué a todos! Es mi culpa.","[shocked]¡Oh, vaya! ¡Es genial, #npc_name_buttercup#!///[happy]No sabía que también te gustaba pescar.",[playful]Yo... eh... Sí.///[happy]¿Quieres un poco?,[happy]Si no te molesta compartir.,"[happy]Por supuesto. Sírvete, #npc_name_bob#. De todos modos, son mejores frescos.",,,,,,,,,,,,,,,,
bobandbuttercup3,.lang,events\lang\spanish\bobandbuttercup3.lang,"[blushing]Oh, hola, #player_name#. Iba de salida.///[happy]#npc_name_buttercup# y yo estuvimos haciendo visitas por un buen rato. Fue una noche maravillosa, disfruté mucho conocerte mejor, #npc_name_buttercup#. Aprecio mucho la invitación.///[neutral]Bueno, creo que es hora de que me vaya. Nos vemos.","[blushing]H... Hola, #player_name#. Qué bueno verte.",[thinking]Oye... quería preguntarte algo. ¡Si no te molesta!///[blushing]¿Qué opinas de #npc_name_bob#?,"[shocked]¿En serio?///[blushing]... Sí, lo entiendo.///[neutral]Invité a #npc_name_bob# para conocernos mejor. Es la primera vez que invito... a alguien, en verdad. ¿Puedes creerlo?","[playful]Pasamos una tarde encantadora. En algún momento perdimos la noción del tiempo y ya es de noche.///[thinking]Solía preocuparme no tener mucha vida social una vez que me mudara aquí al Wildwood.///[blushing]Con felinos como #npc_name_bob#, es difícil pensar que me sentía así.","[happy]De todas formas, suficiente de mí. Siempre fuiste una gran amistad, prestándome un oído cuando lo necesitaba. En verdad lo necesitaba esta noche.///[blushing]No puedo esperar hasta ver a #npc_name_bob# de nuevo.",,,,,¡Es de lo más genial!,Es una dulzura.,,,,,,,,,,,,¿Le gusta coquetear?,¡Se le sobrevalora!,
butterflyfight,.lang,events\lang\spanish\butterflyfight.lang,[playful]Este verano hay muchas hierbas frescas. Es maravilloso ver las plantas florecer por todos lados.,"[neutral]Qué bueno escuchar eso, #npc_name_alabaster#. Un suministro saludable de hierbas significa que podremos curar mejor a nuestros luchadores heridos.","[neutral]Oh, amo el olor de las hierbas frescas. Más que nada el de las flores.///[happy]¡Me alegra el corazón!","[playful]Recuerdo cuando #npc_name_spark# era más joven. #npc_name_spark# solía traerme flores de los prados.///[thinking]A veces también traía malas hierbas, pero era un gesto dulce.","[angry]¡Devuélveme eso, #npc_name_spark#! Yo la encontré primero. ¡Es mía!","[angry]¡No, la estabas destruyendo!",[angry]¡Yo estaba jugando!,[angry]¡Estabas arrancándole las alas!,[playful]¿Y qué?,[thinking]Qué alboroto con esos jóvenes corriendo por todos lados como locos.,Devuélvesela a Charlotte.,Spark tiene razón.,[angry]No respetan a sus mayores.,[sad]Parece que también eres un poco cruel con la naturaleza. Esa [green]mariposa[/green] podría haber ayudado a polinizar las plantas de todo el pueblo.,,"[sad]Oh, #npc_name_spark#...","[playful]Oye, #player_name#, dile a #npc_name_spark# que me devuelva mi [green]mariposa[/green].///[angry]¡Yo la encontré primero, sin trampas! #npc_name_spark# me la robó.",[shocked]¡No! ¡#npc_name_charlotte# la estaba lastimando!,"[thinking]Es solo un insecto. ¿Qué dices, #player_name#?",[angry]Bien. Como sea. Ni siquiera la quería.,"[playful]Gracias, #player_name#. Prometo cuidar bien a esta [green]mariposa[/green].///[neutral]Jugaré un poco con ella y luego la liberaré de nuevo a la naturaleza.","[playful]¿Ves? #player_name# se puso de mi lado.///[playful]Quizás algún día puedas tener tu propia [green]mariposa[/green], #npc_name_spark#... si es que alguna vez logras atrapar una.","[thinking]Bien, me voy. Nos vemos más tarde, perdedores.",,,
charlottetemper,.lang,events\lang\spanish\charlottetemper.lang,"[shocked]¡Eso fue increíble, #npc_name_charlotte#! Las [purple]sombras felinas[/purple] no se esperaban tal ataque.","[neutral]Sí, como sea. Hice lo que tenía que hacer.","[neutral]#npc_name_charlotte#, te he visto pelear. Tienes talento. Podrías hacerlo mucho mejor si te esforzaras un poco más.///[thinking]Quizás con algo de entrenamiento...","[angry]¿Crees que vine hasta aquí para escuchar los sermones de alguien insignificante como tú sobre cómo manejar mi vida?///[thinking]Y para que quede claro, sé cómo cuidarme. No necesité de tu ayuda para pelear contra esas [purple]sombras felinas[/purple].",[thinking]Me encontraba por la zona y escuché la pelea. Es mi trabajo...,"[angry]¿Qué? ¿Molestarme y ser condescendiente conmigo? No, gracias.///[neutral]La próxima vez que me veas, haz como que no te diste cuenta. ¿Entendido?",,,,,,,,,,,,,,,,,,,,
clinicintroduction,.lang,events\lang\spanish\clinicintroduction.lang,"[shocked]¡Ah, #player_name#! Por favor, camina despacio y baja la voz. No querrás despertar a mi paciente que está durmiendo, ¿verdad?///[neutral]Esta es, por supuesto, la [purple]clínica[/purple]. Utilizo este espacio para atender a los enfermos y heridos.///[thinking]Cuando no estoy de guardia, me gusta realizar experimentos científicos en el depósito que está al fondo. Te daré un consejo: ¡no te acerques a ese cuarto si quieres mantener tus bigotes intactos!","[thinking]¡Qué gran siesta! ¡Me siento mucho mejor!///[happy]Tenías razón, #npc_name_krampy#. Todo lo que necesitaba era dormir un poco, mi dolor de cabeza ya desapareció. Gracias por tu consejo.///[neutral]Ahora me voy.","[neutral]#player_name#... Si alguna vez te sientes mal, haz lo que yo hice. Ven a ver a #npc_name_krampy# en la clínica. Te recuperarás en poco tiempo.///[thinking]Que tengas un buen día.","[happy]¡Otra opinión favorable! Deberías haber visto a #npc_name_coco# hace un rato. Se quejaba de un dolor de cabeza insoportable...///[playful]Deduje que #npc_name_coco# estuvo trabajando demasiado y simplemente necesitaba descansar. ¡Parece que estaba en lo correcto!///[neutral]Bueno, ya viste la [purple]clínica[/purple], y ahora sabes a qué me dedico. Como dijo #npc_name_coco#, si alguna vez te sientes mal, ven a verme. ¡Puedo tratar casi cualquier dolencia!",,,,,,,,,,,,,,,,,,,,,,
elliandchamp1,.lang,events\lang\spanish\elliandchamp1.lang,"[happy]¿Tienes migraña? Déjame ver, existen muchas opciones para tratarla.///[thinking]No sentirías nada si mezclara un poco de #item_name_amanita# con #item_name_licorice_poor# triturado. Seguro que eso detendría el dolor de cabeza. ¡Incluso podría agregar algo de #item_name_catnip_good#, solo por diversión!///[shocked]Pero resultaría demasiado fuerte... Sería interesante probarlo, pero no es lo que necesitamos hoy. Mmm...///[neutral]¿Sabes qué? Déjame ver qué tengo en mi inventario. Solo tardaré un minuto.",[thinking]¿Qué está pasando? ¿Esa criatura es un gato?,"[neutral]Sí, lo es. No tengas miedo de #npc_name_krampy#. Atiende en la clínica.///[thinking]La apariencia y la personalidad de #npc_name_krampy# pueden ser un poco extrañas, pero no te hará nada. De hecho, es muy competente como...",[playful]¡Ajá! ¡Encontré un poco de #item_name_honeycomb#! Esto curará tu dolor de cabeza de inmediato.,"[happy]Y no posee efectos secundarios duraderos. Al menos, ninguno conocido... por ahora.///[playful]¡Serás un experimento muy emocionante!","[shocked]¿De verdad vas a comer eso, #npc_name_elli#?","[blushing]Bueno, sí. Es solo un pedazo de #item_name_honeycomb# después de todo...","[playful]Yo puedo ir a buscar un #item_name_honeycomb# para ti, si eso es lo que quieres. Las abejas no son un desafío para mí.///[neutral]Estaría más fresco y sabrías de dónde proviene. Sería mucho menos arriesgado.","[happy]Gracias, pero confío en #npc_name_krampy#. No pasará nada, te lo aseguro.",[shocked]¡#player_name#! No dejes que #npc_name_elli# coma ese #item_name_honeycomb#. ¡Dile que no lo haga!,¡No te comas eso!,Se ve comestible.,"[shocked]¿Qué? Está bien. De cualquier forma, mi dolor de cabeza solo empeoró desde que ustedes dos aparecieron.///[sad]Iré a dormir hasta que se me pase...","[playful]¿Lo ves? No pasa nada. Conozco a #npc_name_krampy# desde hace mucho tiempo. Y hace un trabajo excelente.///[neutral]Tienes que aprender a confiar más en los demás, #npc_name_champ#.",,"[angry]Como quieras. Tuviste suerte esta vez. Tal vez tú confías [i]demasiado[/i] en los demás, #npc_name_elli#.",,,,,,,,,,
elliandchamp2,.lang,events\lang\spanish\elliandchamp2.lang,"[neutral]Te atrapé esto. Sé que no es un pájaro ni nada parecido, pero espero que te guste.","[happy]¡Me encanta, gracias!","[thinking]Quiero decir, no es mucho. Puedo atrapar muchos más. Atrapé miles de [green]ratones[/green]. Esto no fue nada.",[playful]Esto es increíble. Significa mucho para mí.,[blushing]Eh... Sí. Solo dime lo que necesitas. Puedo conseguírtelo. Lo que quieras.,[blushing]Mmm... Bueno.,"[shocked]¿Eh? Oh, lo siento... ¿no quieres que te traiga cosas?","[shocked]¡No! Quiero decir, ¡sí! O sea, sí. Sí. Puedes traerme lo que quieras.///[blushing]Sería muy lindo.","[blushing]Oh, bueno. Genial. Sí, lo haré.",[neutral]Bueno.,,,"[thinking]Sí. Eh, bueno. Sí.","[shocked]Oh, hola, #player_name#. ¿Hace cuánto qué estás ahí?///[blushing]Yo, eh... Debo irme. Nos vemos.",,,,,,,,,,,,
elliandchamp3,.lang,events\lang\spanish\elliandchamp3.lang,"[happy]Aquí es donde hago ejercicio. Entreno, como mínimo, tres horas por día.///[playful]Quiero asegurarme de estar en óptimas condiciones en todo momento.",[blushing]Eso es muy impresionante.,[blushing]Gracias. Es importante para mí mantenerme fuerte. Quiero poder enfrentarme a cualquier amenaza que se presente.,[playful]Me encanta que le pongas tanta dedicación.,[thinking]No lo hago solo por mí. Lo hago por #colony_title_with_definite_article#. Necesito ser capaz de proteger las cosas que más quiero.,[neutral]Comprendo.,"[angry]No, no comprendes. En realidad, no es solo por #colony_title_with_definite_article#.///[thinking]También lo hago por mis seres queridos. No quiero que les pase nada malo. Necesito...///[angry]No, yo [b]debo[/b] protegerlos. Quiero que puedan depender de mí.///[thinking]Quiero que tú puedas depender de mí.","[shocked]Oh, #npc_name_champ#...",[sad]Perdón. Creo que hablé de más...,"[neutral]No, está bien. Te creo.///[blushing]Sé que puedes proteger a #colony_title_with_demonstrative_article#... Y sé que puedes protegerme.",,,[thinking]Gracias por entender.,,,,,,,,,,,,,
garlicsadness,.lang,events\lang\spanish\garlicsadness.lang,[happy]Hola.///[neutral]¡Cuánta soledad! ¿Quieres compañía?,"[sad]Oh, eres tú. Claro, #npc_name_alabaster#.///[sad]En realidad no sé por qué vine. Supongo que algo me superó. Parecía lo correcto.///[neutral]¿Y tú por qué viniste?","[thinking]Se dice entre los gatos que hay vida en el agua.///[thinking]Quizás en la orilla se pueda encontrar sanación al contemplar las olas.///[neutral]Confieso que también me preocupaba. Vine para reflexionar, como hago cuando me siento así.",[shocked]¿De verdad? ¿También sientes tristeza y opresión a veces?///[neutral]Pensé que me pasaba solo a mí.,"[sad]A decir verdad, siento que no logro encontrar mi lugar en #colony_full_name_with_article#. Muchos son grandes cazadores, buenos luchadores, o expertos recolectores, como tú.///[thinking]¿Y yo qué hago? No tengo experiencia en... bueno, nada.","[thinking]Tienes la respuesta justo frente a los ojos.///[neutral]Observa el imponente océano. Aunque es vasto y profundo, está hecho de las más pequeñas gotas de agua.///[thinking]Si cada una de estas gotas cuestionara su lugar y desapareciera, ¿qué quedaría de esta hermosa vista?","[playful]Además, eres mucho más capaz de lo que crees. Llegaste hasta aquí sin ninguna ayuda, una tarea que para muchos sería desalentadora, incluyéndome.","[playful]Gracias, #npc_name_alabaster#. Me siento mucho mejor.///[neutral]Me voy a casa. ¿Quieres acompañarme?",,,,,,,,,,,,,,,,,,
