file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
glimmerstore,.lang,events\lang\spanish\glimmerstore.lang,"[neutral]Por favor, pasa, #player_name#. Avísame si ves algo que te guste, ¿sí?","[neutral]Tú eres quien administra esta tienda, ¿no es así?","[thinking]¡Sí, soy yo! Y tú llegaste al pueblo hace poco, ¿verdad? ¿Qué puedo hacer por ti?///[happy]Con gusto te ayudaré...","[happy]¡Excelente! Necesito adquirir unos cuantos artículos básicos.///[playful]Objetos mundanos, en realidad. El tipo de cosas que esperaría encontrar en este... humilde establecimiento.","[thinking]Veamos... Necesito tres [green]orbes de cristal lustroso[/green], dos [green]plumas de fénix[/green] y doce [green]viales de agua de lluvia pura[/green].",[playful]¿Es mucho pedir?,"[shocked]Bueno, puedo fijarme qué hay en el almacén...","[sad]Gracias, #npc_name_spark#, pero no creo que podamos asistir a tal... estimable cliente.///[neutral]Por cierto, no nos has dicho tu nombre.",[playful]¡Pueden llamarme #npc_name_glimmer#! Confío en que sea un nombre que no olvidarán.///[sad]Qué lástima que su negocio esté tan mal abastecido. Espero que mi próxima visita resulte más satisfactoria.,"[thinking]#npc_name_glimmer#... ¿Dijiste que necesitabas agua de lluvia?///[neutral]Creo que tengo un poco de sobra. Si quieres, pasa por la clínica para llevártela.",¡Fue muy descortés!,A mí me pareció razonable,"[happy]¡Por fin, alguien que me entiende! Sí, creo que la aceptaré.",[angry]¡Qué descaro! Entró aquí como si el lugar fuera suyo...,,"[happy]¡Sí! La próxima vez que #npc_name_glimmer# aparezca, ¡le diremos que la tienda está cerrada!","[neutral]#npc_name_spark#, aunque no nos guste un cliente, merece ser tratado con respeto.///[thinking]Pero debo admitir que tu idea suena divertida.///[happy]Sería más fácil fingir que la tienda está cerrada que intentar encontrar una [green]pluma de fénix[/green], ¿no?",[shocked]¿Qué? ¿Lo dices en serio? ¿Crees que esa era una lista razonable de artículos para pedir en una tienda?///[sad]Quizás tengas razón. Quizás... debería actualizarme. ¿Esas son las cosas que los gatos jóvenes quieren hoy en día? ¿[green]Plumas de fénix[/green] y [green]viales de agua de lluvia pura[/green]?///[shocked]Entonces será mejor que encuentre un proveedor...,,,,,,,,
krampyandtalon1,.lang,events\lang\spanish\krampyandtalon1.lang,[neutral]Esta región está protegida por el momento. Hemos hecho todo lo posible para garantizar su seguridad.,"[neutral]Buen trabajo, #npc_name_jag#. Tus informes siempre son de utilidad. Haces mucho por tu #colony_title#.///[thinking]Sin embargo, es importante que continuemos vigilando las fronteras. Nunca se sabe lo que podría pasar si no permanecemos alerta.///[neutral]Alejarse de los límites del pueblo puede ser peligroso. Me alegra que hayas aceptado inspeccionar el área conmigo.","[happy]Gracias, #npc_name_talon#. Tomo mi deber en serio.",[shocked]¡#npc_name_krampy#! ¿Qué haces aquí?,"[playful]Oh, un poco de esto, un poco de aquello... Nunca se sabe qué se puede encontrar por aquí. Solo requiere de algo de investigación, eso es todo.///[happy]Por ejemplo, ¡hoy te encontré a ti y a #npc_name_jag#!",[angry]Este no es un lugar seguro para ti. Regresa al pueblo de inmediato.,[playful]¿No es seguro? Pero si #npc_name_jag# acaba de decir que sí lo es. Quizás tenga que revisar tu audición la próxima vez que vayas a la clínica.,[angry]#npc_name_krampy#. Vete. Ahora.,"[shocked]Estoy de acuerdo en que #npc_name_krampy# no debería ir sin compañía cuando hay tantos peligros. Pero eso fue un poco duro, ¿no crees?",[angry][hiss]Por supuesto que no. #npc_name_krampy# es responsable de la salud de todos. No podemos arriesgarnos a perder un recurso tan valioso.///[thinking]Proteger a #npc_name_krampy# es una de las cosas más importantes que debemos hacer por #colony_title_with_definite_article#.,,,"[shocked]Si tú lo dices, #npc_name_talon#...",,,,,,,,,,,,,
krampyandtalon2,.lang,events\lang\spanish\krampyandtalon2.lang,"[thinking]¡Mi hipótesis era correcta! Parece que ahora tu salud está en excelente condición, #npc_name_talon#.///[shocked]Aunque no pueda revertir por completo el envejecimiento, deberías sentirte tan ágil como una cría.",[thinking]... En realidad no.,"[thinking]¿Mmm? ¿Por qué no? En tu chequeo todo parecía satisfactorio.///[neutral]Bigotes alineados, cola algo curvada... Los dientes aún están en su lugar, lo cual es una anomalía médica para alguien con tus logros.///[thinking]Sin embargo, el ojo izquierdo sigue cegado. Si lo deseas, podemos comenzar a experimentar sobre eso.///[playful]¡Sí! ¡Sería muy interesante! Traje algunos suministros...","[blushing]¡No, #npc_name_krampy#! Quiero decir, estoy bien. Creo que solo sigo sintiendo la vejez... por dentro.///[thinking]Viví una vida plena, pero aún hay mucho más por hacer. ¡#colony_full_name_capitalized_with_article# necesita de mi fuerza! Debo estar alerta todos los días a todas las amenazas en las fronteras.///[sad]Puedo manejarlo... Pero este último tiempo fue demasiado.",[neutral]Ya veo. Te estresa... a nivel emocional.,[angry]¿A nivel emocional? ¿Qué puedes saber de mis emociones?,"[sad]Parece que no tanto como había predicho. Si es posible, me encantaría recopilar más información sobre tu estado emocional.///[thinking]¿Lo charlamos? Podría ayudar a tu salud en general.",[sad]Está bien. Podemos charlar.,"[neutral]Excelente. Y de ahora en adelante, realizaré más de estas visitas a domicilio para verte y revisar que todo esté bien. Si te parece bien, por supuesto.",,,,,,,,,,,,,,,,,
krampyandtalon3,.lang,events\lang\spanish\krampyandtalon3.lang,"[happy]¡Eureka! ¡Qué tremenda cantidad de hierbas! ¿Las recogiste todas por tu cuenta, #npc_name_talon#?///[shocked]¡Esto cubrirá mi suministro por varios días!","[blushing]Bueno, se trata de la eficacia. Si no debes recolectar hierbas, puedes enfocarte en curar a los pacientes.///[playful]Curar es tu especialidad. No deberías perder tiempo buscando hierbas cuando puedes hacer cosas más importantes con tus talentos.///[happy]También puedes usar estas hierbas para tus experimentos científicos. Tu investigación podría traer nuevos conocimientos que nos beneficiarán a todos.","[blushing]Gracias, #npc_name_talon#. Lo aprecio mucho.","[playful]Oh, ¡hola, #player_name#! ¡Mira esta enorme pila de hierbas que me consiguió #npc_name_talon#!///[happy]¿No es la pila de hierbas más grande que alguien recolectó en un solo día?","[happy]A decir verdad, #npc_name_talon#, te superaste. Gracias de nuevo por tu contribución.","[blushing]No es nada. Ni lo menciones.///[neutral]Y con eso, me retiro.","[shocked]Oh, cielos, qué excelente colección. #item_name_goldenseal_good# y #item_name_marigold_good#, excelentes para curar. #item_name_catnip_good#, siempre es divertida.///[playful]Oh, hay que tener cuidado con esta #item_name_snake_lily_good#... Oh, ¿qué es esto?///[thinking]¿Una sola #item_name_red_rose#? Qué interesante...","[angry]Está bien, me iré para que puedas ordenar. Adiós, #npc_name_krampy#. #player_name#.",,,¡Eso parece!,"Eh, he juntado más.",,,,,,,,,,,,,,
museumintroduction,.lang,events\lang\spanish\museumintroduction.lang,"[happy]¡Ah, una visita! De hecho, ¡una visita muy famosa!///[neutral]Te doy la bienvenida al [purple]museo[/purple], #player_name#. Como responsable de este sagrado establecimiento, me corresponde darte un breve recorrido.///[thinking]¡Sígueme!",[happy]Esta es la galería. Aquí encontrarás cualquier curiosidad que se haya donado al [purple]museo[/purple].///[neutral]Puedes recorrer la galería cuando quieras.,"[happy]¿No es un espacio maravilloso? Es muy agradable tener un lugar de cultura refinada aquí en #colony_full_name_with_article#.///[neutral]Hiciste un muy buen trabajo con la decoración, #npc_name_glimmer#.","[playful]¡Gracias, #npc_name_elli#! Me inclino a estar de acuerdo con tu evaluación.///[shocked]Como sin duda puedes notar, #player_name#, construí este piso de la galería con mucho espacio adicional para exhibir nuevos objetos. El [purple]museo[/purple] está un poco... vacío en este momento.///[neutral]¡Si encuentras cualquier [orange]curiosidad[/orange], por favor no dudes en traérmela!///[neutral]Y eso me recuerda, hay una parada más en el recorrido. Por aquí, #player_name#.","[neutral]Esta es la [orange]mesa de identificación de curiosidades[/orange]. Trae todas las [green]curiosidades sin identificar[/green] para que identificarlas.///[thinking]No espero que cualquiera pueda evaluar estos extraños y hermosos objetos de forma correcta. Por eso puse esta [orange]mesa de identificación de curiosidades[/orange] a disposición.///[playful]Gratis, por supuesto, ¡porque la generosidad es una de mis principales cualidades!///[neutral]Una vez que se identifica una [green]curiosidad[/green], puedes donarla hablando conmigo, siempre que aún no haya algo igual en exhibición en la galería.///[thinking]Sin duda traerás muchas [green]curiosidades sin identificar[/green] al [purple]museo[/purple], ¿no, #player_name#?","[playful]¡Excelente! Espero con ansias el día en la galería esté repleta de curiosidades exclusivas y emocionantes.///[neutral]Recuerda, trae tus [green]curiosidades sin identificar[/green] a la mesa para identificarlas. Luego, trae las [green]curiosidades[/green] identificadas para donarlas al [purple]museo[/purple].///[thinking]¡Y eso concluye el recorrido! Gracias por pasar, #player_name#. No tengo dudas de que te veré por aquí con bastante frecuencia.","[shocked]¿Qué? De seguro #leader_title_with_article# entiende el beneficio de mejorar las experiencias culturales disponibles para #colony_title#.///[sad]Qué triste. Bueno, si cambias de opinión, recuerda que siempre puedes venir a identificar tus [green]curiosidades sin identificar[/green]. Aceptaré cualquier [green]curiosidad[/green] identificada que quieras donar.///[shocked]¡Eso concluye el recorrido! Supongo que debes tener cosas más importantes que hacer que escucharme hablar todo el día sobre el [purple]museo[/purple].",,,,¡Por supuesto que sí!,No lo creo.,,,,,,,,,,,,,,
phantomcardinal,.lang,events\lang\spanish\phantomcardinal.lang,"[sad]¿Dónde está? ¿Dónde lo dejé? Oh, no...","[sad]Creo que perdí un #item_name_cardinal# que atrapé hace unos minutos.///[thinking]Era un hermoso ejemplar. De plumaje [red]rojo[/red] brillante. No debería ser fácil perderlo de vista.///[angry]Lo dejé un minuto para cazar una #item_name_shrew# que pasaba, ¡y ahora no puedo encontrar mi #item_name_cardinal# por ningún lado!",[sad]#player_name#... ¿Viste mi #item_name_cardinal# en algún lado?,"[happy]¡Vaya! ¡Buen ojo! ¡Está justo donde lo dejé!///[playful]Gracias, #player_name#. De verdad te debo una.",[sad]Qué lástima... Supongo que esta noche pasaré hambre hasta que pueda encontrar otro.,,,,,,¡Allí está!,¡No!,,,,,,,,,,,,,,
rosemarygossip,.lang,events\lang\spanish\rosemarygossip.lang,"[happy]¡Oh, acabo de recordar! ¿Ya te mencioné los rumores interesantes que escuché sobre lo que hay en la medicina de #npc_name_krampy#?///[playful]¡Santo cielo, es imperdible!","[sad]Mira, eso es genial y todo, pero necesito seguir cazando...","[playful]¡Oh, no hay problema! Iré contigo. Te lo contaré todo en el camino.","[sad]Por lo menos baja la voz, #npc_name_rosemary#. Estás ahuyentando a todas las presas.","[happy]¡Ah! ¡#player_name#! Te estuve buscando por todas partes.///[neutral]Me acabo de enterar de algo muy intrigante sobre los medicamentos que #npc_name_krampy# usa.///[happy]¡Sin duda alguna, [b]debo[/b] contárselo a [b]alguien[/b]!","[happy]¡Oh, maravilloso! Pues bien, ya conoces a #npc_name_krampy#, que atiende en la clínica, ¿verdad?","[playful][b]BUENO[/b], escuché a #npc_name_coco# hablar con #npc_name_krampy# acerca de un medicamento que #npc_name_krampy# está usando para tratar el resfriado común.",[happy]Resulta que #npc_name_krampy# ha estado mezclando #item_name_honeycomb# con #item_name_goldenseal_good# todo este tiempo. ¡Lo llama ''cura milagrosa''! ¿Puedes creerlo?,"[playful]Bastante sospechoso, ¿no? ¿Y tú qué opinas al respecto, #npc_name_phantom#?","[neutral]¿#npc_name_phantom#? Oh, me pregunto a dónde se habrá ido...","Claro, te escucho.","¡No, gracias!","[happy]Ah, ¿tienes un recado importante que hacer? Está bien, se lo contaré solo a #npc_name_phantom#. ¡Buena suerte con eso, #player_name#!","[sad]Ay, no... Otra vez con lo mismo...",,,,,,,,,,,,
shopintroduction,.lang,events\lang\spanish\shopintroduction.lang,"[thinking]¡Hola, #npc_name_ember#! Encontré esta #item_name_peppermint_fair# y me preguntaba a cuánto podría venderla.","[neutral]Hola, #npc_name_jag#. Puedo ofrecerte 5 [yellow]mius[/yellow] por eso.///[thinking]¿Alguna vez probaste frotarte un poco de #item_name_peppermint_fair# en el pelaje? Escuché que puede ocultar el rastro y facilitar la cacería.","[playful]Espera, ¿puedo usar esta #item_name_peppermint_fair# para facilitarme la captura de presas? Vaya, ¡no lo había pensado!///[happy]Quizás me la quede. Quizás intente rastrear un #item_name_rabbit# más tarde.///[shocked]¡Me da hambre de solo pensarlo!","[happy]Yo vendo #item_name_peppermint_fair# aquí en la tienda. ¿Te interesa comprar un poco más?///[playful]Después de todo, puede ser bastante complicado cazar un #item_name_rabbit#, ¡y así te asegurarías tener todo lo necesario listo!",[shocked]¡Tienes razón! Mejor me aseguro de tener todo preparado antes de salir de la ciudad para cazar.///[happy]Me llevaré tres.,[happy]¡Qué genial! Un placer hacer negocios contigo.///[playful]¡Más satisfacción al cliente!,"[neutral]¡#player_name#, te doy la bienvenida a mi tienda!///[thinking]Tengo muchos [orange]objetos útiles a la venta[/orange]. Puedes hablarme para explorar los productos en cualquier momento.///[playful]También puedes hablarme para [orange]vender tus artículos adicionales[/orange] a cambio de algunos [yellow]mius[/yellow]. ¡Compraré casi cualquier cosa que no necesites!///[happy]Bueno, echa un vistazo y avísame si tienes alguna pregunta. ¡Feliz de ayudar!",,,,,,,,,,,,,,,,,,,
sparkandlainey1,.lang,events\lang\spanish\sparkandlainey1.lang,"[angry]¡#npc_name_spark#! ¿Dónde has estado? Tu turno comenzó hace horas.///[sad]No puedo administrar la tienda sin ti. Estuve corriendo de aquí para allá, ocupándome de todo. La espalda me está matando. Y me duelen las patas.///[angry]¡Más te vale que tengas una buena explicación!",[shocked]Yo... Yo...,[angry]¡No quiero oír tu excusa! Me he sacrificado un montón por esta familia. Lo único que te pido es que trabajes un turno. ¡Un solo turno! Para que yo pueda descansar.///[thinking]Pero siempre te estás escapando. Eres tan poco confiable. Te comportas igual que tu... Igual que tu...,"[angry]¿Igual que quién? Atrévete a terminar la frase.///[sad]Además, solo estaba con mis colegas. Necesitaban ayuda con algo. Te juro que no nos metimos en problemas.///[angry]¿No quieres que tenga amigos? ¿Es eso?","[thinking]Estuviste de nuevo con #npc_name_fliss# y #npc_name_lainey#, ¿verdad? Son malas influencias.","[neutral]Oh, mira, es #player_name#. Qué bueno, tú sí eres responsable.///[shocked]A los jóvenes no les gusta escuchar a sus padres. Quizás puedas hacer que #npc_name_spark# entre en razón.","[angry]Está bien, está bien. Sí, debería haber llegado a tiempo. ¿Ya estás conforme?","[sad]¿Sabes qué? Perdóname. No debería haberte tratado con tanta dureza, #npc_name_spark#.///[neutral]Te agradecería que a partir de ahora fueras puntual. Pero no tenía por qué hablarte así. Te pido disculpas. Intentaré actuar de otra forma.","[sad]¿Qué voy a hacer con esta cría?///[thinking]No debería haberle gritado así a #npc_name_spark#. Voy a pedirle perdón.///[neutral]Lamento que hayas tenido que ver eso, #player_name#.","[sad]Está bien. Te perdono. Yo también me alteré un poco. Fue mi culpa.///[neutral]La próxima vez estaré más pendiente del reloj para no llegar tarde.///[thinking]Sé que trabajas duro, #npc_name_ember#, y lo aprecio mucho.",El trabajo es lo primero.,La amistad es lo primero.,,,,,,,,,,,,,,
sparkandlainey2,.lang,events\lang\spanish\sparkandlainey2.lang,"[playful][gray]¡Chist! ¡#player_name#! Soy yo, #npc_name_lainey#.///[happy]¡Ven! ¡Rápido! ¡Escóndete conmigo![/gray]","[playful]¿A dónde vamos, #npc_name_lainey#?","[playful]Pasando ese arbusto, #npc_name_spark#. ¡Te juro que vi un [green]ratón[/green] dorado por allí!","[shocked]¿En verdad, #npc_name_lainey#? Estuviste actuando de forma bastante extraña todo el día.","[thinking]Te lo aseguro. ¡Vamos, ya casi llegamos!","[happy][gray]¡Prepárate, aquí vienen![/gray]",[thinking]Mmm... No veo ningún [green]ratón[/green] dorado...,[playful][gray]3... 2... 1...[/gray],[playful][scary][b]¡¡¡¡¡¡¡BÚ!!!!!!![/b][/scary],[shocked]¡¿Qué?! ¡#npc_name_fliss#! ¡#npc_name_lainey#! ¡#player_name#! ¿Espera? ¿Qué?,,,"[happy]¡Ja, ja, deberías haber visto tu cara! ¡No hacíamos esto desde hace años!","[happy]Por cierto, #npc_name_spark#, soy #npc_name_lainey#. Pasaste todo el día con #npc_name_fliss#. ¡Te atrapamos dos veces!",,"[playful]¿Qué? ¿En serio? Vaya, en verdad son buenos bromistas, ¿eh? Podrían enseñarme algunos trucos.///[happy]#npc_name_fliss#, ¡qué buena imitación haces de #npc_name_lainey#! Debes hacerlo seguido. ¡No tenía idea!","[happy]Me alegra que no te hayas enfadado, #npc_name_spark#. Gracias por tomártelo bien.///[thinking]Una vez intentamos hacerle una broma a #npc_name_jag# y salió tan bien como podrías esperar...",[playful]Fue una broma divertida. Buen trabajo. ¿Quizás la próxima puedo participar yo también de la broma?,"[neutral]Bueno, ya me divertí. Ahora pueden seguir perdiendo el tiempo. Los dejo a solas.",[happy]¡Genial! Quizás #npc_name_lainey# real y yo podamos rastrear a ese [green]ratón[/green] dorado.,"[blushing]#npc_name_spark#... Sabes que lo inventé todo, ¿verdad?",,,,,
sparkandlainey3,.lang,events\lang\spanish\sparkandlainey3.lang,"[playful]¡Vine a trabajar! Puedes descansar un par de horas, #npc_name_ember#. Yo me encargo.","[shocked]#npc_name_spark#, ni siquiera te anotaron para trabajar hoy. ¿De verdad?",[happy]¡Por supuesto! Te mereces un descanso adicional de vez en cuando. Ve a divertirte o a comer algo. ¡Yo puedo encargarme a partir de ahora!,"[happy]Muchas gracias, #npc_name_spark#. Creo que iré a disfrutar del sol. Gracias de nuevo.///[playful]Volveré en una hora para ver cómo va todo.","[blushing]Eso fue muy dulce, #npc_name_spark#. Te aseguro que a #npc_name_ember# le gustó mucho eso.","[playful]#npc_name_ember# hace mucho por mí. Es lo menos que puedo hacer, de verdad. Tuvo que hacer muchos sacrificios para criarme.",[thinking]Entiendo. A mí también me crio un solo padre.,[shocked]¿En serio? No lo sabía.,"[neutral]Sí, #npc_name_fliss# y yo no hablamos mucho de eso. A mi madre la abandonaron antes de que naciéramos.///[thinking]Éramos siete, así que éramos una familia muy grande. Muchas bocas que alimentar. Debe haber sido muy difícil para mi madre.///[sad]Cuando la perdimos... No sabía cómo íbamos a sobrevivir.///[thinking]Desde ese momento, #npc_name_fliss# me comenzó a cuidar. Aunque tenemos la misma edad, yo tenía el menor tamaño en mi camada.///[neutral]No sé qué haría sin #npc_name_fliss#.","[thinking]Lamento mucho que te haya sucedido eso, #npc_name_lainey#. Nadie tendría que experimentar ese tipo de abandonamiento.///[neutral]Me alegra que tengas a #npc_name_fliss# en tu vida. Parece que tu madre era increíble.",,,[happy]¡Por eso es muy importante que ayudes a cuidar a #npc_name_ember#! Nunca se sabe lo que puede pasar.,"[neutral]Tienes razón. No lo había pensado de esa manera. Necesito cuidar a mi familia.///[happy]Gracias por compartirme esa historia, #npc_name_lainey#. Me diste mucho en qué pensar.",,,,,,,,,,,,
unidentifiedthreat,.lang,events\lang\spanish\unidentifiedthreat.lang,[thinking]Lo encontré pasando las fronteras. No tengo idea de qué es.///[shocked]Podría ser una amenaza para #colony_full_name_with_article#. ¿Lo desechamos?,[thinking]Jamás vi algo como esto. Quizás deberíamos mostrárselo a #npc_name_theforestguardian#.,[neutral]Ya lo hice. A #npc_name_theforestguardian# no le interesó.,"[neutral]Llegaste justo a tiempo, #player_name#. #npc_name_jag# encontró este objeto extraño mientras exploraba las fronteras de #colony_title#. ¿Sabes qué es?","[shocked]¡Entonces no hay tiempo que perder! Debemos deshacernos de esto enseguida///[thinking]#player_name#, toma este objeto extraño y deshazte de él.///[neutral]#colony_full_name_capitalized_with_article# estará a salvo una vez más gracias a tus valientes esfuerzos.",[shocked]¡Aplaudimos tu valentía!,"[shocked]¿Es... muy seguro? ¿Y vale muchos [yellow]mius[/yellow]?///[thinking]Mmm... Bueno, en ese caso...///[happy]¡Yo lo encontré primero! Lo llevaré a la tienda para que lo valoren. Gracias por compartir tus conocimientos, #player_name#.","[happy]Felicidades, #npc_name_jag#. Tendrás que prestar atención en el futuro a ver si encuentras más mientras exploras las fronteras.",,,¡Es peligroso!,¡Es muy valioso!,,,,,,,,,,,,,,
volcanicexperiment,.lang,events\lang\spanish\volcanicexperiment.lang,[happy]¡Ya casi llegamos! Pronto obtendré toda la información que necesito de este experimento.,[shocked]¡Guau! ¿Eso es lava?,"[playful]¡Sí, es lava! ¿No es magnífica?///[neutral]Ven conmigo, acerquémonos más.","[angry]#npc_name_krampy#, cuando me ofrecí a ayudarte, no me imaginé que la ciencia fuera tan... peligrosa.",[happy]¿Peligrosa? ¿Qué? ¿Nunca calentaste un matraz lleno de químicos en un lago de lava hirviendo al lado de un volcán activo?,"[shocked]No, la verdad es que no.///[blushing]Será mejor que vuelva a casa. ¡Buena suerte con eso, #npc_name_krampy#!",[sad]Cada vez es más difícil encontrar asistentes de laboratorio competentes.///[happy]No importa. ¡El experimento debe continuar!,,,,,,,,,,,,,,,,,,,
winterfun,.lang,events\lang\spanish\winterfun.lang,"[happy]¡Oh, qué divertido! Ya atrapé cinco copos de nieve grandes con la lengua.",[playful]¡Qué fiesta más encantadora! ¿Quizás ahora deberíamos iniciar una batalla de bolas de nieve?,"[shocked]Mmm... Bueno, verás, preferiría no estropearme el pelaje.///[neutral]Tengo una reunión importante en una hora.","[playful]Bueno, ¿y si en lugar de eso construimos un gran [light blue]gato de nieve[/light blue]?","[playful]¡Es una idea genial, #npc_name_buttercup#! Busquemos el lugar perfecto para construirlo.",[playful]¡El último en llegar es un huevo de petirrojo podrido!,,,,,,,,,,,,,,,,,,,,
zephyrfame,.lang,events\lang\spanish\zephyrfame.lang,[shocked]¿Ese es...? ¿Es realmente #npc_name_zephyr#? ¡No puedo creerlo! ¡Soy su fan número uno!,[blushing]¿Crees que #npc_name_zephyr# me firmaría la pata? ¡Voy a preguntarle!,"[happy]Oh, no se empujen. ¡Todos tendrán la oportunidad de hablar con su ídolo, #npc_name_zephyr#! Le dedico tiempo a cada uno de mis admiradores por igual.///[playful]No pueden evitar sentirse atraídos por tanta perfección. ¡Lo entiendo!","[happy]¿Qué es esto? Parece que ni siquiera #player_name#, líder de la colonia, puede resistir mi encanto.///[playful]¡Abran paso, abran paso!","[thinking]¿Trajiste algo para que yo lo firme, #player_name#?",[happy]¡Maravilloso! Aquí tienes. ¡Justo lo que estabas esperando!,"[playful]Esa es una de las muchas ventajas de ser #leader_title_with_definite_article#, ¡puedes saltarte la fila!///[thinking]Me alegro de que hayas venido a la reunión. ¿Acaso existen otros gatos tan famosos y fabulosos como tú y yo?///[happy]Si me disculpas, debo atender al resto de mis admiradores. Pero ven a verme cuando quieras. Siempre tendré tiempo para ti, #player_name#.","[shocked]¡Oh, ya veo! Incluso las mejores intenciones a veces salen mal.///[playful]No te preocupes, traje un trozo de papel de más para una situación como esta. Después de todo, no puedo dejar que #leader_title_with_definite_article# se vaya a casa con las manos vacías, ¿verdad?///[happy]Luego me lo agradeces.","[happy]Ponlo en algún lugar especial, #player_name#. ¿Quizás en la mesita de noche junto a tu cama? Sí, ahí estaría bien.///[playful]Bueno, debo volver con el resto de mis seguidores. Por favor, discúlpame.",[sad]¿Qué? Pero... De seguro has oído hablar de mí.,"¡Sí, aquí está!",Lo olvidé en casa...,"[neutral]Ah, qué bueno. Lo comprendo, tienes asuntos importantes que atender. Después de todo, eres #leader_title_with_definite_article#.///[playful]Confío en que pasarás en otro momento, cuando tengas menos obligaciones. Creo que llegaremos a conocernos bien con el tiempo. Tú y yo somos muy prominentes, tenemos mucho en común, ¿verdad?///[happy]Continúa con tus tareas, yo volveré a ocuparme de mis fieles seguidores. Nos veremos luego, #player_name#.","[angry]No puedes estar hablando en serio. ¿Es broma?///[sad]No es habitual que me encuentre con alguien tan descortés como tú, #player_name#. Pensé que eras mejor.///[thinking]Con el tiempo sabrás quién soy y entenderás por qué tengo tantos admiradores fervientes. No tardarás mucho, te lo aseguro.///[sad]Bien, ¡ve a ocuparte de tus asuntos! Yo volveré a que me adoren y me elogien. Hasta luego.",,,,,,,,,,"No, solo estoy de paso.","¡Sí, te conozco!",Nunca he oído hablar de ti.
zephyrhero,.lang,events\lang\spanish\zephyrhero.lang,[shocked]¿Puede ser? ¿Me engaña la vista?,"[angry]Escucha, no sé de qué hablas, pero no quiero tonterías. ¿Entendiste?","[blushing]¡No, no, colega! ¡Me malinterpretaste!",[thinking]¿Sí? Sé todo sobre ti. Y sé a qué te dedicas.///[angry]No me hagas perder el tiempo.,"[shocked]Pero... ¡Yo también sé todo sobre ti!///[thinking]Antes de que existiera la magnificencia de #npc_name_zephyr#, estaba la incuestionabilidad de #npc_name_talon#.///[happy]¡La gloria de la batalla! ¡Primer golpe al luchar! ¡Tus enemigos temblaban solo con mencionar tu nombre!///[blushing]Confieso... Cuando era más joven, admiraba mucho tu trabajo.",[neutral]Pasó mucho tiempo desde que alguien me llamó así.///[sad]Ahora puedes ver en lo que me convertí.,"[neutral]Mi colega, aún tienes fuerza. No te admiro menos ahora que en aquel entonces.///[happy]El orgullo de #colony_title# mejora con por tu presencia.",[thinking]Quizás te juzgué con demasiada dureza...,,,,,,,,,,,,,,,,,,
