file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
abyssaloreitem,.lang,items\lang\german\abyssaloreitem.lang,Abyssal Ore,Abyssal-Erz,das,ein,dieses,Ein dunkler Klumpen von tiefschwarzem Erz.
adderitem,.lang,items\lang\german\adderitem.lang,Adder,Kreuzotter,die,eine,diese,Eine giftige Kreatur mit dunkler Zeichnung.
alexandriteitem,.lang,items\lang\german\alexandriteitem.lang,Alexandrite,Alexandrit,der,ein,dieser,"Ein fabelhaftes, seltenes Juwel! Es scheint unter verschiedenen Lichtverhältnissen entweder rot oder grün zu leuchten."
amanitaitem,.lang,items\lang\german\amanitaitem.lang,Amanita,Fliegenpilz,der,ein,dieser,"Ein mysteriöser Rotkappenpilz, der in vielen Varianten vorkommt. Einige sind essbar, andere nicht. Wer weiß, was passiert, wenn man ihn isst?"
amberitem,.lang,items\lang\german\amberitem.lang,Amber,Bernstein,der,ein,dieser,Ein wunderschönes dunkles Harz mit Schattierungen von Orange und Gold.
amethystitem,.lang,items\lang\german\amethystitem.lang,Amethyst,Amethyst,der,ein,dieser,Aus dem Inneren dieses Steins leuchten schillernde lila Kristalle.
antlersaccessoryitem,.lang,items\lang\german\antlersaccessoryitem.lang,Antlers Accessory,Geweih,das,ein,dieses,"Festliches Rentiergeweih, das an verschneite Tage erinnert."
anvilfurnitureitem,.lang,items\lang\german\anvilfurnitureitem.lang,Anvil Furniture,Amboss,der,ein,dieser,"Handwerksstation. Benutze diesen Amboss, um jederzeit von deiner Höhle aus auf die Rezepte der Maulwurfsschmiede zugreifen zu können."
aquamarineitem,.lang,items\lang\german\aquamarineitem.lang,Aquamarine,Aquamarin,der,ein,dieser,Ein wundersamer Beryll in tiefem Blau.
ashbeetleitem,.lang,items\lang\german\ashbeetleitem.lang,Ash Beetle,Eschenprachtkäfer,der,ein,dieser,Ein großer Käfer mit einem gedämpften grünen Panzer.
autographitem,.lang,items\lang\german\autographitem.lang,Autograph,Autogramm,das,ein,dieses,Ein hastig gekritzeltes Autogramm von Zephyr.
autumn1recorditem,.lang,items\lang\german\autumn1recorditem.lang,Autumn 1 Record,Herbst 1,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine beruhigende Herbstmelodie."
autumn2recorditem,.lang,items\lang\german\autumn2recorditem.lang,Autumn 2 Record,Herbst 2,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine luftige Herbstmelodie."
autumn3recorditem,.lang,items\lang\german\autumn3recorditem.lang,Autumn 3 Record,Herbst 3,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine coole Herbstmelodie."
autumnfestivalrecorditem,.lang,items\lang\german\autumnfestivalrecorditem.lang,Autumn Festival Record,Herbstfest,das,ein,dieses,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine Herbstparty-Melodie."
bandeddarteritem,.lang,items\lang\german\bandeddarteritem.lang,Banded Darter,Gebänderte Heidelibelle,die,eine,diese,Eine schlanke juwelenfarbene Libelle. Benannt nach den dunklen Linien auf ihren Flügeln.
barbelitem,.lang,items\lang\german\barbelitem.lang,Barbel,Barbe,die,eine,diese,"Ein hell gefärbter Süßwasserfisch mit langen, katzenartigen Schnurrhaaren. Ein köstliches Mahl!"
barkbeetleitem,.lang,items\lang\german\barkbeetleitem.lang,Bark Beetle,Borkenkäfer,der,ein,dieser,Ein großer Käfer mit staubroten Flügeldecken.
barrelfurnitureitem,.lang,items\lang\german\barrelfurnitureitem.lang,Barrel Furniture,Fass,das,ein,dieses,"Ein rundes, genietetes Fass mit einem hölzernen Deckel."
bassitem,.lang,items\lang\german\bassitem.lang,Bass,Barsch,der,ein,dieser,Ein dunkelgrüner Süßwasserfisch mit einem großen Maul.
batitem,.lang,items\lang\german\batitem.lang,Bat,Fledermaus,die,eine,diese,"Ein seltsames, fliegendes Tier mit großen membranartigen Flügeln."
battlepotionitem,.lang,items\lang\german\battlepotionitem.lang,Battle Potion,Kampftrank,der,ein,dieser,"Ein blubberndes Gebräu mit einem starken Geruch, das eine Katze mit Wut erfüllt und ihre Kampfkraft für kurze Zeit erheblich erhöht."
battlepotionrecipeitem,.lang,items\lang\german\battlepotionrecipeitem.lang,Battle Potion Recipe,Rezept für einen Kampftrank,das,ein,dieses,"Ein blubberndes Gebräu mit einem starken Geruch, das eine Katze mit Wut erfüllt und ihre Kampfkraft für kurze Zeit erheblich erhöht."
beakyaccessoryitem,.lang,items\lang\german\beakyaccessoryitem.lang,Beaky Accessory,Schnabelmaske,die,eine,diese,"Eine seltsame Maske aus verwittertem Material mit einer schlanken, schnabelartigen Nase. Einige glauben, dass sie den Träger vor üblen Krankheiten schützen kann."
beeitem,.lang,items\lang\german\beeitem.lang,Bee,Biene,die,eine,diese,Dieses winzige Insekt hat es in sich! Pass auf den giftigen Stachel auf.
bellaccessoryitem,.lang,items\lang\german\bellaccessoryitem.lang,Bell Accessory,Glocke,die,eine,diese,"Eine goldene Glocke, die an einer schmalen Kette hängt."
bendycurioitem,.lang,items\lang\german\bendycurioitem.lang,Bendy Curio,Biegsame Kuriosität,die,eine,diese,"Ein leichtes, hohles Kunststoffrohr, das an einem Ende gebogen ist."
birdcagefurnitureitem,.lang,items\lang\german\birdcagefurnitureitem.lang,Bird Cage Furniture,Vogelkäfig,der,ein,dieser,"Ein hoher Vogelkäfig aus Messing auf einem Ständer, der eine fröhliche Elster beherbergt."
bismuthitem,.lang,items\lang\german\bismuthitem.lang,Bismuth,Bismut,das,ein,dieses,Ein seltsamer Stein mit vielen scharfen Kanten und einer mehrfarbigen Färbung.
blackberriesfairitem,.lang,items\lang\german\blackberriesfairitem.lang,Blackberries [Fair],Brombeeren,die,ein,diese,"Dunkle Beeren, die selbst den wählerischsten Gaumen zufriedenstellen können."
blackberriesgooditem,.lang,items\lang\german\blackberriesgooditem.lang,Blackberries [Good],Brombeeren,die,ein,diese,"Dunkle Beeren, die selbst den wählerischsten Gaumen zufriedenstellen können."
blackberriespooritem,.lang,items\lang\german\blackberriespooritem.lang,Blackberries [Poor],Brombeeren,die,ein,diese,"Dunkle Beeren, die selbst den wählerischsten Gaumen zufriedenstellen können."
blackberriesseedsitem,.lang,items\lang\german\blackberriesseedsitem.lang,Blackberries Seeds,Brombeersamen,die,ein,diese,"Winzige lila Samen, die von einer Brombeere stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
blackberriesseedsrecipeitem,.lang,items\lang\german\blackberriesseedsrecipeitem.lang,Blackberries Seeds Recipe,Rezept für Brombeersamen,das,ein,dieses,Pflanze Brombeeren mit diesen Samen in deinem Garten an! Brombeeren sind ein köstlicher Snack.
blackcavecricketitem,.lang,items\lang\german\blackcavecricketitem.lang,Black Cave Cricket,Schwarze Höhlenschrecke,die,eine,diese,Eine seltsame Kreatur mit blassen blinden Augen. Für das Leben tief unter der Erde ist das Augenlicht nicht besonders nützlich!
blackcrystallampfurnitureitem,.lang,items\lang\german\blackcrystallampfurnitureitem.lang,Black Crystal Lamp Furniture,Schwarze Kristall-Lampe,die,eine,diese,"Eine eigenartige Lampe, hergestellt aus getrockneten Lehmziegeln, verziert mit tiefschwarzen Kristallen, die schwach von innen leuchten."
blackfireflyitem,.lang,items\lang\german\blackfireflyitem.lang,Black Firefly,Schwarzes Glühwürmchen,das,ein,dieses,"Ein seltsamer Sommerkäfer, der das Licht um sich herum verschluckt. Einige glauben, dass der Besuch dieses Wesens ein böses Omen ist."
blackladybugitem,.lang,items\lang\german\blackladybugitem.lang,Black Ladybug,Schwarzer Marienkäfer,der,ein,dieser,Ein seltsamer kleiner Käfer mit grauen Punkten.
blackroseitem,.lang,items\lang\german\blackroseitem.lang,Black Rose,Schwarze Rose,die,eine,diese,"Eine hässliche verwelkte Blume, die niemand gerne sieht. Gib sie einer Katze, um deine Beziehung zu beenden."
blueberriesfairitem,.lang,items\lang\german\blueberriesfairitem.lang,Blueberries [Fair],Blaubeeren,die,ein,diese,Eine glänzende Ansammlung kleiner Beeren an einem leuchtend grünen Stiel.
blueberriesgooditem,.lang,items\lang\german\blueberriesgooditem.lang,Blueberries [Good],Blaubeeren,die,ein,diese,Eine azurblaue Ansammlung kleiner Beeren an einem leuchtend grünen Stiel.
blueberriespooritem,.lang,items\lang\german\blueberriespooritem.lang,Blueberries [Poor],Blaubeeren,die,ein,diese,Eine bunte Ansammlung kleiner Beeren an einem hellgrünen Stiel.
blueberriesseedsitem,.lang,items\lang\german\blueberriesseedsitem.lang,Blueberries Seeds,Blaubeersamen,die,ein,diese,"Große hellbraune Samen, die von einer Blaubeere stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
blueberriesseedsrecipeitem,.lang,items\lang\german\blueberriesseedsrecipeitem.lang,Blueberries Seeds Recipe,Rezept für Blaubeersamen,das,ein,dieses,Pflanze mit diesen Samen Blaubeeren in deinem Garten an! Blaubeeren sind ein leckerer Snack.
bluejayitem,.lang,items\lang\german\bluejayitem.lang,Bluejay,Blauhäher,der,ein,dieser,Ein legendärer saphirfarbener Vogel. Er riecht köstlich!
blueladybugitem,.lang,items\lang\german\blueladybugitem.lang,Blue Ladybug,Blauer Marienkäfer,der,ein,dieser,"Ein beeindruckender blauer Käfer mit schwarzen Punkten. Viele Katzen halten ihn für einen Mythos, aber du hast einen gefunden!"
bouldergemsfurnitureitem,.lang,items\lang\german\bouldergemsfurnitureitem.lang,Boulder Gems Furniture,Felsbrocken (Edelsteine),der,ein,dieser,"Ein riesiger Felsen mit sichtbaren Kristallen, die auf der Oberfläche wachsen. Welche Edelsteine könnten im Inneren versteckt sein?"
boulderplainfurnitureitem,.lang,items\lang\german\boulderplainfurnitureitem.lang,Boulder Plain Furniture,Felsbrocken (schlicht),der,ein,dieser,"Ein riesiger Felsbrocken, der aus einer dunklen Höhle herausgeholt wurde."
bouncycurioitem,.lang,items\lang\german\bouncycurioitem.lang,Bouncy Curio,Springende Kuriosität,die,eine,diese,"Lass es fallen und beobachte, wie es vom Boden abprallt!"
bowaccessoryitem,.lang,items\lang\german\bowaccessoryitem.lang,Bow Accessory,Schleife,die,eine,diese,"Eine hübsche rosa Schleife, die man auf dem Kopf tragen kann."
bowtieaccessoryitem,.lang,items\lang\german\bowtieaccessoryitem.lang,Bowtie Accessory,Fliege,die,eine,diese,Eine formelle schwarze Fliege zum Umhängen um den Hals.
brightinsigniaitem,.lang,items\lang\german\brightinsigniaitem.lang,Bright Insignia,Leuchtende Insignien,die,ein,diese,"Ein Symbol großer Autorität. Wird verwendet, um sofort 100 % Einfluss in deiner aktuellen Region zu erlangen. Wird bei der Anwendung verbraucht."
brightinsigniarecipeitem,.lang,items\lang\german\brightinsigniarecipeitem.lang,Bright Insignia Recipe,Rezept für leuchtende Insignien,das,ein,dieses,"Schaltet ein neues Rezept. Diese Symbole der Autorität können verwendet werden, um sofort 100% Einfluss in einer Region zu erlangen. Wird bei der Anwendung verbraucht."
brightstoneitem,.lang,items\lang\german\brightstoneitem.lang,Brightstone,Lichtstein,der,ein,dieser,Ein echter Lichtstein! Viele Geologen halten diesen Edelstein für einen Mythos. Das seltenste aller Mineralien!
bronzestructurefurnitureitem,.lang,items\lang\german\bronzestructurefurnitureitem.lang,Bronze Structure Furniture,Bronze-Struktur,die,eine,diese,"Ein winziges, aber schweres Dekorationsstück aus einem einzigen chaotisch geschlungenen Bronzedraht."
browncavecricketitem,.lang,items\lang\german\browncavecricketitem.lang,Brown Cave Cricket,Braune Höhlenschrecke,die,eine,diese,"Eine kleine Kreatur mit hervorstehenden Augen und einem krummen Körper. Es mag es, sich an dunklen Orten zu verstecken."
brownhawkeritem,.lang,items\lang\german\brownhawkeritem.lang,Brown Hawker,Braune Herbst-Mosaikjungfer (Libelle),die,eine,diese,Eine schlaksige braune Libelle mit schwachen gelben Streifen.
bubblewanditem,.lang,items\lang\german\bubblewanditem.lang,Bubble Wand,Seifenblasen-Zauberstab,der,ein,dieser,"Benutze diesen spielerischen Gegenstand, um lustige Seifenblasen zu machen. Zur einmaligen Anwendung."
butterflywingsaccessoryitem,.lang,items\lang\german\butterflywingsaccessoryitem.lang,Butterfly Wings Accessory,Schmetterlingsflügel,die,ein,diese,"Irgendeine Katze hat viel Zeit damit verbracht, diese Nachbildung von Schmetterlingsflügeln herzustellen, die du stolz auf dem Rücken tragen kannst."
campfirefurnitureitem,.lang,items\lang\german\campfirefurnitureitem.lang,Campfire Furniture,Lagerfeuer,das,ein,dieses,Ein heller Haufen brennender Holzscheite. Warm und gemütlich!
captainhataccessoryitem,.lang,items\lang\german\captainhataccessoryitem.lang,Captain Hat Accessory,Kapitänsmütze,die,eine,diese,Diese furchterregende Mütze gehörte einst dem gefährlichsten Piraten der sieben Weltmeere.
cardboardcurioitem,.lang,items\lang\german\cardboardcurioitem.lang,Cardboard Curio,Pappmaché-Kuriosität,die,eine,diese,"Es rollt mit Leichtigkeit, wenn es geschoben wird!"
cardinalitem,.lang,items\lang\german\cardinalitem.lang,Cardinal,Kardinal,der,ein,dieser,"Ein legendärer scharlachroter Vogel, dessen wunderschönes Gefieder selbst im Tod lebensecht wirkt."
carpitem,.lang,items\lang\german\carpitem.lang,Carp,Karpfen,der,ein,dieser,Ein dunkler Süßwasserfisch mit einer markanten Rückenflosse.
carvedpumpkinfurnitureitem,.lang,items\lang\german\carvedpumpkinfurnitureitem.lang,Carved Pumpkin Furniture,Geschnitzter Kürbis,der,ein,dieser,"Ein ausgehöhlter Kürbis, in den das Bild eines bösen Grinsens geschnitzt ist. Im Inneren flackert eine Kerze."
catnipfairitem,.lang,items\lang\german\catnipfairitem.lang,Catnip [Fair],Katzenminze,die,eine,diese,Eine süße Pflanze mit einem unwiderstehlichen Geruch. Wird von fast allen Katzen geliebt und geschätzt.
catnipgooditem,.lang,items\lang\german\catnipgooditem.lang,Catnip [Good],Katzenminze,die,eine,diese,Eine süße Pflanze mit einem unwiderstehlichen Geruch. Wird von fast allen Katzen geliebt und geschätzt.
catnippooritem,.lang,items\lang\german\catnippooritem.lang,Catnip [Poor],Katzenminze,die,eine,diese,Eine süße Pflanze mit einem unwiderstehlichen Geruch. Wird von fast allen Katzen geliebt und geschätzt.
catnipseedsitem,.lang,items\lang\german\catnipseedsitem.lang,Catnip Seeds,Katzenminzesamen,die,ein,diese,"Eine Handvoll winziger schwarzer Samen, die von einer Katzenminzepflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
catnipseedsrecipeitem,.lang,items\lang\german\catnipseedsrecipeitem.lang,Catnip Seeds Recipe,Rezept für Katzenminzesamen,das,ein,dieses,Pflanze mit diesen Samen Katzenminze in deinem Garten an! Katzenminze ist bei fast allen Katzen sehr beliebt und sehr wertvoll.
catplushfurnitureitem,.lang,items\lang\german\catplushfurnitureitem.lang,Cat Plush Furniture,Katzenplüschtier,das,ein,dieses,"Ein kleines katzenförmiges Spielzeug aus sehr weichem Stoff, das mit Flausch gefüllt ist."
celestiallampfurnitureitem,.lang,items\lang\german\celestiallampfurnitureitem.lang,Celestial Lamp Furniture,Himmlische Laterne,die,eine,diese,"Eine hohe, fremdartige Laterne. Von der gelben Kugel nahe der Spitze geht Licht aus, aber wie es erzeugt wird, ist ein Rätsel."
ceremonialcrownaccessoryitem,.lang,items\lang\german\ceremonialcrownaccessoryitem.lang,Ceremonial Crown Accessory,Zeremonielle Krone,die,eine,diese,Welche Art von Krone würde bei einer Krönung verwendet werden? Wie ist sie hierher gekommen?
certificatefurnitureitem,.lang,items\lang\german\certificatefurnitureitem.lang,Certificate Furniture,Zertifikat,das,ein,dieses,"Ein Zertifikat für Exzellenz, das an der Wand aufgehängt werden kann. Wird nur an die erfolgreichsten Katzen verliehen."
championsauraaccessoryitem,.lang,items\lang\german\championsauraaccessoryitem.lang,Champions Aura Accessory,Champions Aura,die,ein,dies,Strahlen Sie mit dem inneren Licht eines mächtigen himmlischen Wesens!
chromaticbatitem,.lang,items\lang\german\chromaticbatitem.lang,Chromatic Bat,Farbige Fledermaus,die,eine,diese,"Ein seltsames, flatterndes Wesen, das in allen erdenklichen Farben schimmert. Unberechenbar im Kampf."
clickycurioitem,.lang,items\lang\german\clickycurioitem.lang,Clicky Curio,Klickende Kuriosität,die,eine,diese,Ein seltsames elektronisches Gerät.
collaraccessoryitem,.lang,items\lang\german\collaraccessoryitem.lang,Collar Accessory,Halsband,das,ein,dieses,"Ein niedliches rotes Halsband, das von einem Menschen für ein Haustier gekauft wurde."
colorfulgravelfurnitureitem,.lang,items\lang\german\colorfulgravelfurnitureitem.lang,Colorful Gravel Furniture,Bunter Kies,der,ein,dieser,"Eine Schicht winziger mehrfarbiger Steine, die aussehen, als gehörten sie in ein Aquarium."
concavecurioitem,.lang,items\lang\german\concavecurioitem.lang,Concave Curio,Konkave Kuriosität,die,eine,diese,Ein geheimnisvolles Gerät aus reflektierendem Metall.
conchitem,.lang,items\lang\german\conchitem.lang,Conch,Muschel,die,eine,diese,Eine sehr geschätzte perlweiße Muschel. Man kann fast den Ozean hören! Dieser Gegenstand kann deinem Sandvorrat gespendet werden.
confettibagitem,.lang,items\lang\german\confettibagitem.lang,Confetti Bag,Konfetti-Tasche,die,eine,diese,"Dieser lustige Gegenstand ermöglicht es dir, bis zum Ende des Tages Konfetti vom Himmel regnen zu lassen. Zur einmaligen Anwendung."
coprinusitem,.lang,items\lang\german\coprinusitem.lang,Coprinus,Tintling,der,ein,dieser,Ein stängeliger Pilz mit heilenden Eigenschaften. Behandelt Vergiftungen.
coralitem,.lang,items\lang\german\coralitem.lang,Coral,Koralle,die,eine,diese,"Ein feuerroter Korallenzweig, der kürzlich an der Küste angespült wurde."
corkblockfurnitureitem,.lang,items\lang\german\corkblockfurnitureitem.lang,Cork Block Furniture,Korkenblock,der,ein,dieser,Ein rechteckiger Block aus massivem Kork mit abgerundeten Kanten.
corkcurioitem,.lang,items\lang\german\corkcurioitem.lang,Cork Curio,Kork-Kuriosität,die,eine,diese,Ein winziger Zylinder aus dichtem Kork.
crabitem,.lang,items\lang\german\crabitem.lang,Crab,Krabbe,die,eine,diese,Ein rotes Krustentier mit mehreren Beinen. Vorsicht mit den Scheren!
creditsrecorditem,.lang,items\lang\german\creditsrecorditem.lang,Credits Record,Credits,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine nostalgische Melodie."
crinklycurioitem,.lang,items\lang\german\crinklycurioitem.lang,Crinkly Curio,Knisternde Kuriosität,die,eine,diese,Eine aufgerissene Verpackung für ein längst vergessenes Objekt.
crowitem,.lang,items\lang\german\crowitem.lang,Crow,Krähe,die,eine,diese,"Ein schlauer schwarzer Vogel. Schwer zu fangen, außer für die erfahrensten Katzen auf der Jagd."
curiocompactorrecipeitem,.lang,items\lang\german\curiocompactorrecipeitem.lang,Curio Compactor Recipe,Rezept für den Kuriositätenverdichter,das,ein,dieses,Wandle deine unerwünschten Kuriositäten mit diesem Rezept in nützliche Gegenstände um.
cutstonetilefurnitureitem,.lang,items\lang\german\cutstonetilefurnitureitem.lang,Cut Stone Tile Furniture,Geschnittene Steinfliese,die,eine,diese,"Schwere Steine, die in Quadrate und Rechtecke geschnitten und in einem Muster verlegt wurden."
daisyitem,.lang,items\lang\german\daisyitem.lang,Daisy,Gänseblümchen,das,ein,dieses,"Eine hübsche kleine Blume mit einem leuchtend gelben Zentrum. Bekannt dafür, dass sie für Katzen giftig ist. Sei vorsichtig im Umgang!"
daisyseedsitem,.lang,items\lang\german\daisyseedsitem.lang,Daisy Seeds,Gänseblümchensamen,die,ein,diese,"Kleine gelbe Samen, die von einem Gänseblümchen stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
daisyseedsrecipeitem,.lang,items\lang\german\daisyseedsrecipeitem.lang,Daisy Seeds Recipe,Rezept für Gänseblümchensamen,das,ein,dieses,"Pflanze Gänseblümchen in deinem Garten mit diesen Samen an! Obwohl sie hübsch anzusehen sind, sind Gänseblümchen giftig für Katzen und sollten nicht konsumiert werden."
dancefloorfurnitureitem,.lang,items\lang\german\dancefloorfurnitureitem.lang,Dance Floor Furniture,Tanzfläche,die,eine,diese,"Eine schillernde Anordnung von knallbunten Lichtern, angeordnet in einem quadratischen Raster. Gibt einen elektronischen Glanz ab, während sich das Farbmuster ändert."
darkcandleitem,.lang,items\lang\german\darkcandleitem.lang,Darkcandle,Wachsmotte,die,eine,diese,Diese kränklichen Fliegen brennen mit einem blassen kalten Feuer. Man findet sie in den Minen.
darkruinsrecorditem,.lang,items\lang\german\darkruinsrecorditem.lang,Dark Ruins Record,Dunkle Ruinen,die,eine,diese,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine nachdenkliche Melodie für die dunklen Orte der Welt."
